ID,Time,Distance
241972,18739,2263,1
137622,18286,2808,1
1323723,18085,2536,1
1734528,15467,1150,1
1356646,16631,1837,1
1357973,20276,2542,1
616205,16029,1228,1
1030195,20173,1698,1
821251,17937,2059,1
443367,16478,1536,1
960214,18367,1383,1
1889086,17254,1506,1
171536,17300,1721,1
1621849,7137,975,1
1394918,19817,1730,1
1034569,15991,2254,1
838917,19959,2128,1
1288884,8873,1688,1
1002951,19908,1554,1
1799033,20925,1738,1
594316,18435,1408,1
1751094,20085,1913,1
184869,17965,1624,1
813636,18308,1773,1
872825,18637,1780,1
1743471,19347,1972,1
265933,17291,2151,1
1917639,19757,1761,1
1491271,18511,1491,1
1084813,17723,1702,1
1958194,17837,1496,1
695020,17937,2121,1
239673,19810,1570,1
1267918,19958,2129,1
740139,21132,1383,1
1394901,19274,1896,1
1685011,21749,1792,1
663450,14021,1543,1
1856188,17921,2345,1
511161,6862,743,1
1280922,20109,2409,1
1523396,17560,1260,1
1013602,20173,1698,1
328350,18583,1387,1
1379300,19235,909,1
970490,18196,1455,1
773058,19062,2326,1
327024,20522,2020,1
973520,16639,1804,1
947258,17351,1432,1
1513120,18123,1067,1
613142,18908,1676,1
549727,19818,1730,1
1317012,15915,1655,1
204101,21103,2289,1
1527767,10510,1340,1
1229660,20689,1975,1
1525103,16323,2185,1
809595,16746,1225,1
1042152,17969,1816,1
1156155,17799,1115,1
1410699,18759,1931,1
1479571,16363,1655,1
592583,6148,564,1
1070212,16097,1052,1
854137,17254,1506,1
825652,17975,1758,1
1203064,18040,1368,1
1360715,18481,2240,1
365343,17649,1486,1
959272,15809,1365,1
939665,20149,1757,1
1320651,16122,1703,1
1729147,20918,2028,1
1267964,19347,1972,1
297504,18798,1369,1
846519,11007,732,1
1930644,21540,1380,1
167470,16512,1703,1
918738,17727,1785,1
1796806,19577,1475,1
1678785,20904,2181,1
1627198,19276,1787,1
1297787,16457,1463,1
1574967,18396,2590,1
1320644,17972,1472,1
811009,17252,1150,1
199078,18789,2313,1
398292,15914,1655,1
813641,15244,1653,1
1162853,18926,2037,1
134576,16440,1735,1
1678754,6791,641,1
926364,20720,1653,1
1594599,20720,1653,1
137608,21053,2139,1
43513,16846,1681,1
1017164,7487,905,1
1221753,17702,1739,1
316323,19818,1730,1
1047819,16017,1485,1
2037429,18671,1492,1
506611,21892,1828,1
629585,17469,1576,1
775678,17948,1992,1
1942625,21592,1982,1
1908746,18585,1781,1
1848529,19986,2099,1
1295158,19934,2450,1
315002,14060,848,1
1593258,20019,1535,1
121295,17873,1784,1
571672,8309,714,1
888391,20071,1537,1
209832,17986,2064,1
210814,18400,1551,1
1381640,19090,1841,1
1010543,19805,1615,1
1147212,20019,1427,1
1008236,19301,1338,1
1848525,17029,1236,1
1584300,18078,1943,1
1840656,21572,1954,1
313274,17965,1624,1
470906,15983,1671,1
25747,20755,1306,1
1750619,16441,1474,1
1928375,16363,1801,1
639721,20176,1833,1
352086,20620,1443,1
1196253,19239,1896,1
1636010,15922,1090,1
2091832,17633,2120,1
